episode,initial_cost,final_cost,episode_reward,steps,invalid_action,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction
0,0.053414571917808205,0.2317833512720157,-178.3687744140625,4,,11314.411376953125,-0.00045629125088453293,22628.93701171875,5.691161870956421,1.099705696105957e-05,0.0
1,0.053414571917808205,0.1503576810176125,-96.94310760498047,4,,11314.411376953125,-0.00045629125088453293,22628.93701171875,5.691161870956421,1.099705696105957e-05,0.0
2,0.053414571917808205,0.17382037508153925,-120.40579986572266,4,,11314.411376953125,-0.00045629125088453293,22628.93701171875,5.691161870956421,1.099705696105957e-05,0.0
3,0.053414571917808205,0.2763911806914547,-222.9766082763672,4,,11314.411376953125,-0.00045629125088453293,22628.93701171875,5.691161870956421,1.099705696105957e-05,0.0
4,0.053414571917808205,0.1915274151989562,-138.1128387451172,4,,7999.8157958984375,-0.0002372564049437642,15999.745361328125,5.676917910575867,-0.00012858211994171143,0.0
5,0.053414571917808205,0.22226872146118704,-168.85415649414062,4,,7999.8157958984375,-0.0002372564049437642,15999.745361328125,5.676917910575867,-0.00012858211994171143,0.0
6,0.053414571917808205,0.1477305536529678,-94.31597900390625,4,,7999.8157958984375,-0.0002372564049437642,15999.745361328125,5.676917910575867,-0.00012858211994171143,0.0
7,0.053414571917808205,0.18951994129158503,-136.10536193847656,4,,7999.8157958984375,-0.0002372564049437642,15999.745361328125,5.676917910575867,-0.00012858211994171143,0.0
8,0.053414571917808205,0.17102283268101773,-117.60826110839844,4,,10127.4658203125,-6.950832903385162e-05,20255.044921875,5.692307353019714,-3.375113010406494e-05,0.0
9,0.053414571917808205,0.2357328685583821,-182.31829833984375,4,,10127.4658203125,-6.950832903385162e-05,20255.044921875,5.692307353019714,-3.375113010406494e-05,0.0
10,0.053414571917808205,0.19839037671232862,-144.97579956054688,4,,10127.4658203125,-6.950832903385162e-05,20255.044921875,5.692307353019714,-3.375113010406494e-05,0.0
11,0.053414571917808205,0.2180596917808218,-164.64512634277344,4,,10127.4658203125,-6.950832903385162e-05,20255.044921875,5.692307353019714,-3.375113010406494e-05,0.0
12,0.053414571917808205,0.1576701981409002,-104.25562286376953,4,,12679.648193359375,-0.00015949737280607224,25359.40966796875,5.6965895891189575,-2.0273029804229736e-05,0.0
13,0.053414571917808205,0.2480460534898891,-194.63148498535156,4,,12679.648193359375,-0.00015949737280607224,25359.40966796875,5.6965895891189575,-2.0273029804229736e-05,0.0
14,0.053414571917808205,0.244546139921722,-191.13156127929688,4,,12679.648193359375,-0.00015949737280607224,25359.40966796875,5.6965895891189575,-2.0273029804229736e-05,0.0
15,0.053414571917808205,0.23815669520547927,-184.74212646484375,4,,12679.648193359375,-0.00015949737280607224,25359.40966796875,5.6965895891189575,-2.0273029804229736e-05,0.0
16,0.053414571917808205,0.20611886986301356,-152.7042999267578,4,,15516.67626953125,-0.00011197151616215706,31033.4658203125,5.698751926422119,-1.023709774017334e-05,0.0
17,0.053414571917808205,0.22191650603392035,-168.50193786621094,4,,15516.67626953125,-0.00011197151616215706,31033.4658203125,5.698751926422119,-1.023709774017334e-05,0.0
18,0.053414571917808205,0.2714486643835614,-218.03408813476562,4,,15516.67626953125,-0.00011197151616215706,31033.4658203125,5.698751926422119,-1.023709774017334e-05,0.0
19,0.053414571917808205,0.27066049249836915,-217.2459259033203,4,,15516.67626953125,-0.00011197151616215706,31033.4658203125,5.698751926422119,-1.023709774017334e-05,0.0
20,0.053414571917808205,0.1310981637312458,-77.68359375,4,,7637.8441162109375,-0.0001229550689458847,15275.8017578125,5.687349915504456,-0.0001324862241744995,0.0
21,0.053414571917808205,0.14436985322896273,-90.95528411865234,4,,7637.8441162109375,-0.0001229550689458847,15275.8017578125,5.687349915504456,-0.0001324862241744995,0.0
22,0.053414571917808205,0.2220096102413564,-168.59503173828125,4,,7637.8441162109375,-0.0001229550689458847,15275.8017578125,5.687349915504456,-0.0001324862241744995,0.0
23,0.053414571917808205,0.22725739726027414,-173.8428192138672,4,,7637.8441162109375,-0.0001229550689458847,15275.8017578125,5.687349915504456,-0.0001324862241744995,0.0
24,0.053414571917808205,0.2266897928897584,-173.2752227783203,4,,12369.063232421875,-0.00022737029939889908,24738.240234375,5.689142942428589,-9.041279554367065e-05,0.0
25,0.053414571917808205,0.22152235975211998,-168.1077880859375,4,,12369.063232421875,-0.00022737029939889908,24738.240234375,5.689142942428589,-9.041279554367065e-05,0.0
26,0.053414571917808205,0.2394441634050883,-186.0295867919922,4,,12369.063232421875,-0.00022737029939889908,24738.240234375,5.689142942428589,-9.041279554367065e-05,0.0
27,0.053414571917808205,0.2131221200260926,-159.70755004882812,4,,12369.063232421875,-0.00022737029939889908,24738.240234375,5.689142942428589,-9.041279554367065e-05,0.0
28,0.053414571917808205,0.236659319960861,-183.2447509765625,4,,11353.27587890625,-0.0002462700940668583,22706.66552734375,5.683741569519043,2.2709369659423828e-05,0.0
29,0.053414571917808205,0.17732880055446837,-123.91423034667969,4,,11353.27587890625,-0.0002462700940668583,22706.66552734375,5.683741569519043,2.2709369659423828e-05,0.0
30,0.053414571917808205,0.2557018574690149,-202.28729248046875,4,,11353.27587890625,-0.0002462700940668583,22706.66552734375,5.683741569519043,2.2709369659423828e-05,0.0
31,0.053414571917808205,0.19443788649706434,-141.0233154296875,4,,11353.27587890625,-0.0002462700940668583,22706.66552734375,5.683741569519043,2.2709369659423828e-05,0.0
32,0.053414571917808205,0.2277294748858449,-174.3148956298828,4,,14500.702880859375,-8.609332144260406e-05,29001.51904296875,5.69916045665741,-1.4953315258026123e-05,0.0
33,0.053414571917808205,0.23203329256360095,-178.61871337890625,4,,14500.702880859375,-8.609332144260406e-05,29001.51904296875,5.69916045665741,-1.4953315258026123e-05,0.0
34,0.053414571917808205,0.23934933789954338,-185.9347686767578,4,,14500.702880859375,-8.609332144260406e-05,29001.51904296875,5.69916045665741,-1.4953315258026123e-05,0.0
35,0.053414571917808205,0.2631862557077628,-209.7716827392578,4,,14500.702880859375,-8.609332144260406e-05,29001.51904296875,5.69916045665741,-1.4953315258026123e-05,0.0
36,0.053414571917808205,0.25168134540117426,-198.2667694091797,4,,14946.28369140625,-6.262771785259247e-05,29892.6806640625,5.690553069114685,0.00013299286365509033,0.0
37,0.053414571917808205,0.29269907371167675,-239.2845001220703,4,,14946.28369140625,-6.262771785259247e-05,29892.6806640625,5.690553069114685,0.00013299286365509033,0.0
38,0.053414571917808205,0.2359056865622963,-182.49111938476562,4,,14946.28369140625,-6.262771785259247e-05,29892.6806640625,5.690553069114685,0.00013299286365509033,0.0
39,0.053414571917808205,0.18266477332028686,-129.2501983642578,4,,14946.28369140625,-6.262771785259247e-05,29892.6806640625,5.690553069114685,0.00013299286365509033,0.0
40,0.053414571917808205,0.2709423842139595,-217.52781677246094,4,,14587.64599609375,6.42240047454834e-05,29175.4052734375,5.692083239555359,7.827579975128174e-05,0.0
41,0.053414571917808205,0.23748221950424006,-184.06764221191406,4,,14587.64599609375,6.42240047454834e-05,29175.4052734375,5.692083239555359,7.827579975128174e-05,0.0
42,0.053414571917808205,0.23496198793215903,-181.5474090576172,4,,14587.64599609375,6.42240047454834e-05,29175.4052734375,5.692083239555359,7.827579975128174e-05,0.0
43,0.053414571917808205,0.2299923328440966,-176.5777587890625,4,,14587.64599609375,6.42240047454834e-05,29175.4052734375,5.692083239555359,7.827579975128174e-05,0.0
44,0.053414571917808205,0.17470441128506178,-121.28984069824219,4,,4510.3236083984375,-0.00043359771370887756,9020.76220703125,5.690224051475525,-6.596744060516357e-05,0.0
45,0.053414571917808205,0.1661555503913893,-112.74098205566406,4,,4510.3236083984375,-0.00043359771370887756,9020.76220703125,5.690224051475525,-6.596744060516357e-05,0.0
46,0.053414571917808205,0.16533888617090664,-111.92431640625,4,,4510.3236083984375,-0.00043359771370887756,9020.76220703125,5.690224051475525,-6.596744060516357e-05,0.0
47,0.053414571917808205,0.148563030006523,-95.1484603881836,4,,4510.3236083984375,-0.00043359771370887756,9020.76220703125,5.690224051475525,-6.596744060516357e-05,0.0
48,0.053414571917808205,0.2130829011741681,-159.6683349609375,4,,12269.960693359375,-0.00023728050291538239,24540.03515625,5.693003296852112,-0.0001943632960319519,0.0
49,0.053414571917808205,0.2541963111545988,-200.78173828125,4,,12269.960693359375,-0.00023728050291538239,24540.03515625,5.693003296852112,-0.0001943632960319519,0.0
50,0.053414571917808205,0.241633687214612,-188.2191162109375,4,,12269.960693359375,-0.00023728050291538239,24540.03515625,5.693003296852112,-0.0001943632960319519,0.0
51,0.053414571917808205,0.2189249510763208,-165.5103759765625,4,,12269.960693359375,-0.00023728050291538239,24540.03515625,5.693003296852112,-0.0001943632960319519,0.0
52,0.053414571917808205,0.200565319634703,-147.15074157714844,4,,6625.0762939453125,-0.0004675546661019325,13250.266845703125,5.6806641817092896,9.316205978393555e-05,0.0
53,0.053414571917808205,0.18003127853881254,-126.61670684814453,4,,6625.0762939453125,-0.0004675546661019325,13250.266845703125,5.6806641817092896,9.316205978393555e-05,0.0
54,0.053414571917808205,0.1737284425962165,-120.31387329101562,4,,6625.0762939453125,-0.0004675546661019325,13250.266845703125,5.6806641817092896,9.316205978393555e-05,0.0
55,0.053414571917808205,0.20645006523157192,-153.03549194335938,4,,6625.0762939453125,-0.0004675546661019325,13250.266845703125,5.6806641817092896,9.316205978393555e-05,0.0
56,0.053414571917808205,0.26208444227005867,-208.6698760986328,4,,10851.489013671875,-0.0006347028538584709,21703.0927734375,5.69437849521637,0.0003764405846595764,0.0
57,0.053414571917808205,0.2435769879321591,-190.16241455078125,4,,10851.489013671875,-0.0006347028538584709,21703.0927734375,5.69437849521637,0.0003764405846595764,0.0
58,0.053414571917808205,0.1907824347684278,-137.36785888671875,4,,10851.489013671875,-0.0006347028538584709,21703.0927734375,5.69437849521637,0.0003764405846595764,0.0
59,0.053414571917808205,0.21135453848662736,-157.93997192382812,4,,10851.489013671875,-0.0006347028538584709,21703.0927734375,5.69437849521637,0.0003764405846595764,0.0
60,0.053414571917808205,0.21765984018264825,-164.24526977539062,4,,10133.110595703125,0.00013586878776550293,20266.33447265625,5.693479418754578,-0.00021065771579742432,0.0
61,0.053414571917808205,0.27111973662752775,-217.70516967773438,4,,10133.110595703125,0.00013586878776550293,20266.33447265625,5.693479418754578,-0.00021065771579742432,0.0
62,0.053414571917808205,0.21613424902152611,-162.7196807861328,4,,10133.110595703125,0.00013586878776550293,20266.33447265625,5.693479418754578,-0.00021065771579742432,0.0
63,0.053414571917808205,0.20148887638617077,-148.07431030273438,4,,10133.110595703125,0.00013586878776550293,20266.33447265625,5.693479418754578,-0.00021065771579742432,0.0
64,0.053414571917808205,0.24410602087410316,-190.6914520263672,4,,7728.99560546875,-0.0003195367753505707,15458.105224609375,5.681786894798279,0.00036159902811050415,0.0
