episode,initial_cost,final_cost,episode_reward,steps,invalid_action,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction
0,0.053414571917808205,0.22344035877364626,-170.02578735351562,4,,9430.82666015625,-0.0009493512334302068,18861.7685546875,5.684079170227051,-0.00013302266597747803,0.0
1,0.053414571917808205,0.13923690394650995,-85.82233428955078,4,,9430.82666015625,-0.0009493512334302068,18861.7685546875,5.684079170227051,-0.00013302266597747803,0.0
2,0.053414571917808205,0.18891842791911276,-135.5038604736328,4,,9430.82666015625,-0.0009493512334302068,18861.7685546875,5.684079170227051,-0.00013302266597747803,0.0
3,0.053414571917808205,0.23351268101761266,-180.09811401367188,4,,9430.82666015625,-0.0009493512334302068,18861.7685546875,5.684079170227051,-0.00013302266597747803,0.0
4,0.053414571917808205,0.23000491030658876,-176.59033203125,4,,15630.751220703125,-0.0003004036843776703,31261.6162109375,5.699121594429016,-3.205984830856323e-05,0.0
5,0.053414571917808205,0.2579270238095238,-204.512451171875,4,,15630.751220703125,-0.0003004036843776703,31261.6162109375,5.699121594429016,-3.205984830856323e-05,0.0
6,0.053414571917808205,0.22247824363992166,-169.0636749267578,4,,15630.751220703125,-0.0003004036843776703,31261.6162109375,5.699121594429016,-3.205984830856323e-05,0.0
7,0.053414571917808205,0.26185951076320946,-208.4449462890625,4,,15630.751220703125,-0.0003004036843776703,31261.6162109375,5.699121594429016,-3.205984830856323e-05,0.0
8,0.053414571917808205,0.2315251157860404,-178.1105499267578,4,,9625.35888671875,-0.0005461229011416435,19250.83203125,5.692286372184753,-0.00014574825763702393,0.0
9,0.053414571917808205,0.2408444422700586,-187.42987060546875,4,,9625.35888671875,-0.0005461229011416435,19250.83203125,5.692286372184753,-0.00014574825763702393,0.0
10,0.053414571917808205,0.15571475619699932,-102.30018615722656,4,,9625.35888671875,-0.0005461229011416435,19250.83203125,5.692286372184753,-0.00014574825763702393,0.0
11,0.053414571917808205,0.16417665443574672,-110.7620849609375,4,,9625.35888671875,-0.0005461229011416435,19250.83203125,5.692286372184753,-0.00014574825763702393,0.0
12,0.053414571917808205,0.25288488910632745,-199.47032165527344,4,,12233.956298828125,-0.00016668811440467834,24468.02587890625,5.68123185634613,2.987682819366455e-06,0.0
13,0.053414571917808205,0.27816212328767115,-224.74755859375,4,,12233.956298828125,-0.00016668811440467834,24468.02587890625,5.68123185634613,2.987682819366455e-06,0.0
14,0.053414571917808205,0.16739405414220482,-113.97948455810547,4,,12233.956298828125,-0.00016668811440467834,24468.02587890625,5.68123185634613,2.987682819366455e-06,0.0
15,0.053414571917808205,0.15716305936073044,-103.74848937988281,4,,12233.956298828125,-0.00016668811440467834,24468.02587890625,5.68123185634613,2.987682819366455e-06,0.0
16,0.053414571917808205,0.14771950587084154,-94.304931640625,4,,11561.484619140625,-0.0001649409532546997,23123.08251953125,5.699721932411194,-0.0002505555748939514,0.0
17,0.053414571917808205,0.15307735975212003,-99.66278839111328,4,,11561.484619140625,-0.0001649409532546997,23123.08251953125,5.699721932411194,-0.0002505555748939514,0.0
18,0.053414571917808205,0.26992742172211354,-216.51284790039062,4,,11561.484619140625,-0.0001649409532546997,23123.08251953125,5.699721932411194,-0.0002505555748939514,0.0
19,0.053414571917808205,0.259268044683627,-205.8534698486328,4,,11561.484619140625,-0.0001649409532546997,23123.08251953125,5.699721932411194,-0.0002505555748939514,0.0
20,0.053414571917808205,0.16620272097195027,-112.78814697265625,4,,8824.422119140625,-0.00029296334832906723,17648.9580078125,5.680297255516052,3.0994415283203125e-06,0.0
21,0.053414571917808205,0.19424923026744925,-140.83465576171875,4,,8824.422119140625,-0.00029296334832906723,17648.9580078125,5.680297255516052,3.0994415283203125e-06,0.0
22,0.053414571917808205,0.25365782371167633,-200.24325561523438,4,,8824.422119140625,-0.00029296334832906723,17648.9580078125,5.680297255516052,3.0994415283203125e-06,0.0
23,0.053414571917808205,0.15487497309197623,-101.46040344238281,4,,8824.422119140625,-0.00029296334832906723,17648.9580078125,5.680297255516052,3.0994415283203125e-06,0.0
24,0.053414571917808205,0.18835868721461171,-134.94412231445312,4,,12255.823974609375,-0.0002947011962532997,24511.76171875,5.689877271652222,4.2110681533813477e-05,0.0
25,0.053414571917808205,0.12958124918460537,-76.16667938232422,4,,12255.823974609375,-0.0002947011962532997,24511.76171875,5.689877271652222,4.2110681533813477e-05,0.0
26,0.053414571917808205,0.22003724233528993,-166.62266540527344,4,,12255.823974609375,-0.0002947011962532997,24511.76171875,5.689877271652222,4.2110681533813477e-05,0.0
27,0.053414571917808205,0.30574985649054126,-252.3352813720703,4,,12255.823974609375,-0.0002947011962532997,24511.76171875,5.689877271652222,4.2110681533813477e-05,0.0
28,0.053414571917808205,0.2034421697651662,-150.02760314941406,4,,8469.798583984375,-0.0002063661813735962,16939.71044921875,5.691282153129578,-0.00024633854627609253,0.0
