episode,initial_cost,final_cost,episode_reward,steps,invalid_action,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction
0,0.048069342973456206,0.08694105850425866,-38.8717155456543,133,,37.573274666128356,-0.0010377577036843263,75.25974917571459,5.556208190165068,0.00024548800368058056,0.0
1,0.048069342973456206,0.08720821273802194,-39.13887023925781,133,,37.573274666128356,-0.0010377577036843263,75.25974917571459,5.556208190165068,0.00024548800368058056,0.0
2,0.048069342973456206,0.08895021561908592,-40.8808708190918,133,,37.573274666128356,-0.0010377577036843263,75.25974917571459,5.556208190165068,0.00024548800368058056,0.0
3,0.048069342973456206,0.093092873300664,-45.023529052734375,133,,37.573274666128356,-0.0010377577036843263,75.25974917571459,5.556208190165068,0.00024548800368058056,0.0
4,0.048069342973456206,0.08868203845987666,-40.612693786621094,133,,4.0552376254804825,-0.004315603615478017,8.2301395584381,5.5516533376579,0.00010554817386139604,0.029605263157894735
5,0.048069342973456206,0.0883658447819484,-40.29650115966797,133,,4.0552376254804825,-0.004315603615478017,8.2301395584381,5.5516533376579,0.00010554817386139604,0.029605263157894735
6,0.048069342973456206,0.08964498799139174,-41.575645446777344,133,,4.0552376254804825,-0.004315603615478017,8.2301395584381,5.5516533376579,0.00010554817386139604,0.029605263157894735
7,0.048069342973456206,0.08926331094410767,-41.1939697265625,133,,4.0552376254804825,-0.004315603615478017,8.2301395584381,5.5516533376579,0.00010554817386139604,0.029605263157894735
8,0.048069342973456206,0.09132742692361606,-43.25808334350586,133,,1.7311354069585414,-0.007450776496776065,3.5881975194810423,5.5512583874222035,0.004008035014446517,0.03524436090225564
9,0.048069342973456206,0.09217073603595657,-44.10139465332031,133,,1.7311354069585414,-0.007450776496776065,3.5881975194810423,5.5512583874222035,0.004008035014446517,0.03524436090225564
10,0.048069342973456206,0.08869354199608787,-40.62419891357422,133,,1.7311354069585414,-0.007450776496776065,3.5881975194810423,5.5512583874222035,0.004008035014446517,0.03524436090225564
11,0.048069342973456206,0.090388449686994,-42.31910705566406,133,,1.7311354069585414,-0.007450776496776065,3.5881975194810423,5.5512583874222035,0.004008035014446517,0.03524436090225564
12,0.048069342973456206,0.08752983225367977,-39.46049118041992,133,,1.2650889755415737,-0.01753672980003171,2.675895374544889,5.532198409388836,0.010444027924896182,0.15037593984962405
13,0.048069342973456206,0.08832583766688694,-40.25649642944336,133,,1.2650889755415737,-0.01753672980003171,2.675895374544889,5.532198409388836,0.010444027924896182,0.15037593984962405
14,0.048069342973456206,0.08976408822833172,-41.69474411010742,133,,1.2650889755415737,-0.01753672980003171,2.675895374544889,5.532198409388836,0.010444027924896182,0.15037593984962405
15,0.048069342973456206,0.08947239392984015,-41.40304946899414,133,,1.2650889755415737,-0.01753672980003171,2.675895374544889,5.532198409388836,0.010444027924896182,0.15037593984962405
