episode,initial_cost,final_cost,cost_delta,terminal_reward,last_rollout_reward,reward_sum,best_cost,invalid,num_macros,steps,episode_runtime_sec,invalid_action,initial_wirelength_cost,initial_density_cost,initial_congestion_cost,final_wirelength_cost,final_density_cost,final_congestion_cost,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction
10,0.6879115033375915,0.8491602717833205,-0.161248768445729,-0.8491602717833205,-0.8491602540016174,-0.8491602540016174,0.8477212880430923,False,50,50,33.611249319998024,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2271157241724152,0.499128006260026,0.7449610889617846,-0.08287110721925274,-0.030190240951487795,0.005194046584531282,5.527789114117622,-0.0018723630905151368,0.095
11,0.6879115033375915,0.8673210184523803,-0.17940951511478875,-0.8673210184523803,-0.8673210144042969,-0.8673210144042969,0.8477212880430923,False,50,50,37.95750522099843,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2439823727976473,0.5012183220316367,0.7454589692778293,-0.08287110721925274,-0.030190240951487795,0.005194046584531282,5.527789114117622,-0.0018723630905151368,0.095
12,0.6879115033375915,0.8631676241591406,-0.17525612082154907,-0.8631676241591406,-0.8631676435470581,-0.8631676435470581,0.8477212880430923,False,50,50,33.85099681800057,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24550662113807467,0.49618611677806723,0.7391358892640646,-0.09663838635198772,-0.04226526394137181,0.0011718059480108156,5.495902706980705,-0.006692820191383362,0.16125
13,0.6879115033375915,0.8672080794979602,-0.17929657616036865,-0.8672080794979602,-0.8672080636024475,-0.8672080636024475,0.8477212880430923,False,50,50,31.91891126400151,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24421232465927803,0.5015946850737635,0.7443968246036009,-0.09663838635198772,-0.04226526394137181,0.0011718059480108156,5.495902706980705,-0.006692820191383362,0.16125
14,0.6879115033375915,0.8596547919900002,-0.17174328865240862,-0.8596547919900002,-0.8596547842025757,-0.8596547842025757,0.8477212880430923,False,50,50,30.892531647001306,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.23873244365337482,0.49826937459112347,0.7435753220821273,-0.09663838635198772,-0.04226526394137181,0.0011718059480108156,5.495902706980705,-0.006692820191383362,0.16125
15,0.6879115033375915,0.8824936605485227,-0.1945821572109312,-0.8824936605485227,-0.8824936747550964,-0.8824936747550964,0.8477212880430923,False,50,50,31.95521253699917,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2640260057160792,0.49509427068364803,0.741841038981239,-0.09663838635198772,-0.04226526394137181,0.0011718059480108156,5.495902706980705,-0.006692820191383362,0.16125
16,0.6879115033375915,0.8581564881348093,-0.17024498479721772,-0.8581564881348093,-0.8581565022468567,-0.8581565022468567,0.8477212880430923,False,50,50,40.188178996002534,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24562921159529919,0.4914700293388513,0.7335845237401688,-0.08920517077436671,-0.03494298429446644,0.00021358999037699445,5.436898151636123,0.02889169752597809,0.33375
17,0.6879115033375915,0.8544387469935464,-0.16652724365595484,-0.8544387469935464,-0.8544387221336365,-0.8544387221336365,0.8477212880430923,False,50,50,39.74374209300004,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2417933694657004,0.4897479020724152,0.7355428529832767,-0.08920517077436671,-0.03494298429446644,0.00021358999037699445,5.436898151636123,0.02889169752597809,0.33375
18,0.6879115033375915,0.8493464807811677,-0.16143497744357616,-0.8493464807811677,-0.8493464589118958,-0.8493464589118958,0.8477212880430923,False,50,50,41.56688562600175,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2361615113737845,0.491748164416172,0.7346217743985944,-0.08920517077436671,-0.03494298429446644,0.00021358999037699445,5.436898151636123,0.02889169752597809,0.33375
19,0.6879115033375915,0.8566073814717241,-0.16869587813413256,-0.8566073814717241,-0.8566073775291443,-0.8566073775291443,0.8477212880430923,False,50,50,43.09273272799692,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24130740222805705,0.49443475510900176,0.7361652033783322,-0.08920517077436671,-0.03494298429446644,0.00021358999037699445,5.436898151636123,0.02889169752597809,0.33375
20,0.6879115033375915,0.8567496375310717,-0.16883813419348015,-0.8567496375310717,-0.8567496538162231,-0.8567496538162231,0.8477212880430923,False,50,50,45.954767877999984,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.25120472274224337,0.4899772077544021,0.7211126218232546,-0.048755463906563816,0.0044915493461303415,0.00015981588081049214,5.332692279219628,0.03903773337602615,0.2875
21,0.6879115033375915,0.861984287584092,-0.1740727842465004,-0.861984287584092,-0.8619843125343323,-0.8619843125343323,0.8477212880430923,False,50,50,47.3087231669997,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2526537192280042,0.4840393623135807,0.7346217743985949,-0.048755463906563816,0.0044915493461303415,0.00015981588081049214,5.332692279219628,0.03903773337602615,0.2875
22,0.6879115033375915,0.865659746610149,-0.17774824327255745,-0.865659746610149,-0.865659773349762,-0.865659773349762,0.8477212880430923,False,50,50,33.66364484400037,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24868335113154122,0.4946509415878028,0.7393018493694127,-0.048755463906563816,0.0044915493461303415,0.00015981588081049214,5.332692279219628,0.03903773337602615,0.2875
23,0.6879115033375915,0.8544350363994203,-0.16652353306182877,-0.8544350363994203,-0.8544350266456604,-0.8544350266456604,0.8477212880430923,False,50,50,30.100673482000275,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24898206838044873,0.48281469178479886,0.7280912442531443,-0.048755463906563816,0.0044915493461303415,0.00015981588081049214,5.332692279219628,0.03903773337602615,0.2875
24,0.6879115033375915,0.8483031631390112,-0.16039165980141967,-0.8483031631390112,-0.8483031392097473,-0.8483031392097473,0.8477212880430923,False,50,50,42.901657843001885,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.24402565322963812,0.48283700507208005,0.7257180147466662,-0.08626775055192411,-0.0333854017307749,0.00017681579381453093,5.297075850367546,0.04881367951631546,0.30625
25,0.6879115033375915,0.8607593277862886,-0.17284782444869706,-0.8607593277862886,-0.8607593178749084,-0.8607593178749084,0.8477212880430923,False,50,50,40.09836298600203,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.23992764010871925,0.4976731530096415,0.7439902223454974,-0.08626775055192411,-0.0333854017307749,0.00017681579381453093,5.297075850367546,0.04881367951631546,0.30625
26,0.6879115033375915,0.8652824717392814,-0.17737096840168987,-0.8652824717392814,-0.8652824759483337,-0.8652824759483337,0.8477212880430923,False,50,50,40.85815068000011,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2506373751735867,0.49139070665216816,0.7378994864792212,-0.08626775055192411,-0.0333854017307749,0.00017681579381453093,5.297075850367546,0.04881367951631546,0.30625
27,0.6879115033375915,0.8425359854510641,-0.15462448211347257,-0.8425359854510641,-0.8425359725952148,-0.8425359725952148,0.8425359854510641,False,50,50,55.58017484899756,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.22326993561409827,0.49474932746011907,0.7437827722138127,-0.08626775055192411,-0.0333854017307749,0.00017681579381453093,5.297075850367546,0.04881367951631546,0.30625
28,0.6879115033375915,0.8307543794418115,-0.14284287610421997,-0.8307543794418115,-0.8307543992996216,-0.8307543992996216,0.8307543794418115,False,50,50,34.22344711000187,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.22247227940890302,0.4903151398814578,0.7262490601843592,-0.09055282903835177,-0.03826229863800108,0.0008666619367291606,5.272386294603348,0.05534564435482025,0.2925
29,0.6879115033375915,0.8540175300656607,-0.16610602672806918,-0.8540175300656607,-0.8540175557136536,-0.8540175557136536,0.8307543794418115,False,50,50,31.420637723000254,,0.09131794686601315,0.49190352095982953,0.7012835919833273,0.2393697387542293,0.4903256534641467,0.7389699291587161,-0.09055282903835177,-0.03826229863800108,0.0008666619367291606,5.272386294603348,0.05534564435482025,0.2925
